Project,Package,Class,Method,Smell,Description,File
zxing,com.google.zxing.client.j2se,CommandLineRunnerTestCase,testCommandLineRunner,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/CommandLineRunnerTestCase.java
zxing,com.google.zxing.client.j2se,MatrixToImageWriterTestCase,testBlackAndWhite,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/MatrixToImageWriterTestCase.java
zxing,com.google.zxing.client.j2se,MatrixToImageWriterTestCase,testColor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/MatrixToImageWriterTestCase.java
zxing,com.google.zxing.client.j2se,MatrixToImageWriterTestCase,testAlpha,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/MatrixToImageWriterTestCase.java
zxing,com.google.zxing.client.j2se,CommandLineEncoderTestCase,testEncode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/CommandLineEncoderTestCase.java
zxing,com.google.zxing.client.j2se,ImageReaderTestCase,testDataURI,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/ImageReaderTestCase.java
zxing,com.google.zxing.web,HTTPSFilterTestCase,testRedirect,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/HTTPSFilterTestCase.java
zxing,com.google.zxing.web,DoSFilterTestCase,testRedirect,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/DoSFilterTestCase.java
zxing,com.google.zxing.web,DoSFilterTestCase,testNoRemoteHost,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/DoSFilterTestCase.java
zxing,com.google.zxing.web,DoSFilterTestCase,testProxy,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/DoSFilterTestCase.java
zxing,com.google.zxing.web,WelcomeFilterTestCase,testRedirect,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/WelcomeFilterTestCase.java
zxing,com.google.zxing.web,ChartServletTestCase,testChart,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/ChartServletTestCase.java
zxing,com.google.zxing.web,DoSTrackerTestCase,testDoS,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/DoSTrackerTestCase.java
zxing,com.google.zxing.web,DecodeServletTestCase,testDataURI,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/DecodeServletTestCase.java
zxing,com.google.zxing.web,DecodeServletTestCase,testDataURI,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.google.zxing.web.DecodeServlet.destroy; com.google.zxing.web.DecodeServlet.init; com.google.zxing.web.DecodeServlet.doGet,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/DecodeServletTestCase.java
zxing,com.google.zxing.web,ServletContextLogHandlerTestCase,testLogHandler,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/ServletContextLogHandlerTestCase.java
zxing,com.google.zxing.web,LRUMapTestCase,testLRU,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/LRUMapTestCase.java
zxing,com.google.zxing.web,ChartServletRequestParametersTestCase,testParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/ChartServletRequestParametersTestCase.java
zxing,com.google.zxing.web,ChartServletRequestParametersTestCase,testParams,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.google.zxing.web.ChartServletRequestParameters.getWidth; com.google.zxing.web.ChartServletRequestParameters.getHeight; com.google.zxing.web.ChartServletRequestParameters.getMargin; com.google.zxing.web.ChartServletRequestParameters.getOutputEncoding; com.google.zxing.web.ChartServletRequestParameters.getEcLevel; com.google.zxing.web.ChartServletRequestParameters.getText,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/test/java/com/google/zxing/web/ChartServletRequestParametersTestCase.java
zxing,com.google.zxing,GrayscaleLuminanceSourceTestCase,testCrop,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/test/java/com/google/zxing/GrayscaleLuminanceSourceTestCase.java
zxing,com.google.zxing,GrayscaleLuminanceSourceTestCase,testCrop,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.google.zxing.GrayscaleLuminanceSource.crop; com.google.zxing.LuminanceSource.getHeight; com.google.zxing.LuminanceSource.getWidth; com.google.zxing.GrayscaleLuminanceSource.isCropSupported; com.google.zxing.LuminanceSource.getRow,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/test/java/com/google/zxing/GrayscaleLuminanceSourceTestCase.java
zxing,com.google.zxing,GrayscaleLuminanceSourceTestCase,testRotate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/test/java/com/google/zxing/GrayscaleLuminanceSourceTestCase.java
zxing,com.google.zxing,GrayscaleLuminanceSourceTestCase,testRotate,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.google.zxing.GrayscaleLuminanceSource.getRow; com.google.zxing.GrayscaleLuminanceSource.rotateCounterClockwise; com.google.zxing.LuminanceSource.getRow; com.google.zxing.GrayscaleLuminanceSource.getMatrix; com.google.zxing.LuminanceSource.rotateCounterClockwise; com.google.zxing.LuminanceSource.getMatrix; com.google.zxing.GrayscaleLuminanceSource.isRotateSupported,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/test/java/com/google/zxing/GrayscaleLuminanceSourceTestCase.java
zxing,com.google.zxing,GrayscaleLuminanceSourceTestCase,testRotateCropped,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/test/java/com/google/zxing/GrayscaleLuminanceSourceTestCase.java
